FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,MAGUNCERT7,MAGUNCERT5
33.0,59811.5124237,,1.287,,5,,6,,7,,21,,25,,30,,35,,29.85,,29.781,,29.708,,28.892,,28.655,,28.519,,28.174,,0.072,,0.081,,0.089,,0.152,,0.157,,0.182,,0.169,,3219.515,,3431.039,,3670.647,,7783.51,,9679.956,,10973.03,,15073.47,,129396.9,,184852.6,,250605.5,,2226116,,3153075,,4537639,,6176547,,0.1055986748510793,0.0862092010828989
34.0,59811.5163897,,1.303,,5,,6,,7,,21,,25,,30,,35,,29.522,,29.389,,29.285,,28.242,,28.083,,27.797,,27.668,,0.067,,0.071,,0.076,,0.106,,0.117,,0.118,,0.134,,4361.762,,4929.457,,5422.162,,14171.5,,16411.53,,21348.91,,24044.63,,129065.9,,184905.8,,249156.2,,2210083,,3129933,,4504180,,6125178,,0.0775996461362576,0.0668796329906611
35.0,59811.5203536,,1.32,,5,,6,,7,,21,,25,,30,,35,,29.855,,29.783,,29.735,,28.755,,28.637,,28.575,,28.426,,0.066,,0.074,,0.083,,0.122,,0.14,,0.174,,0.194,,3195.22,,3413.427,,3568.108,,8798.01,,9808.888,,10383.14,,11909.01,,129279.3,,184868.3,,250317.8,,2225695,,3151838,,4534935,,6170464,,0.1101275957488214,0.0875380843817297
36.0,59811.5243181,,1.337,,5,,6,,7,,21,,25,,30,,35,,29.419,,29.377,,29.423,,29.227,,29.183,,28.923,,28.92,,0.048,,0.055,,0.067,,0.203,,0.25,,0.259,,0.33,,4741.939,,4927.575,,4725.738,,5661.09,,5893.717,,7489.047,,7509.058,,129853.2,,185625.4,,249322.0,,2208917,,3129762,,4505386,,6128901,,0.0801627003433853,0.0577546501588584
37.0,59811.5282941,,1.357,,5,,6,,7,,21,,25,,30,,35,,29.984,,29.849,,29.748,,29.431,,29.073,,28.991,,29.064,,0.069,,0.073,,0.078,,0.211,,0.194,,0.237,,0.323,,2835.117,,3212.16,,3525.998,,4719.662,,6566.089,,7076.272,,6616.347,,128217.8,,183196.2,,249089.5,,2209118,,3129334,,4503900,,6127716,,0.1128758611214037,0.0993960755831908
39.0,59812.3410543,,1.532,,5,,6,,7,,21,,25,,30,,35,,29.717,,29.73,,29.626,,28.723,,28.713,,28.615,,28.521,,0.072,,0.087,,0.093,,0.147,,0.186,,0.224,,0.262,,3495.517,,3454.328,,3799.7,,8731.082,,8811.163,,9641.054,,10514.06,,84141.65,,119579.8,,161534.9,,1426675,,2018736,,2903793,,3949619,,0.0822077232061394,0.0637809091658269
40.0,59812.3450167,,1.5,,5,,6,,7,,21,,25,,30,,35,,29.696,,29.636,,29.584,,28.66,,28.594,,28.494,,28.428,,0.043,,0.048,,0.053,,0.081,,0.098,,0.117,,0.141,,3555.414,,3755.445,,3941.43,,9229.391,,9810.074,,10757.36,,11430.02,,82715.58,,117792.7,,158747.4,,1401327,,1983159,,2852217,,3878719,,0.0811278016745681,0.0632946929264606
41.0,59812.3489788,,1.47,,5,,6,,7,,21,,25,,30,,35,,29.886,,29.779,,29.768,,28.691,,28.648,,28.587,,28.55,,0.053,,0.057,,0.066,,0.088,,0.108,,0.134,,0.165,,2951.521,,3255.664,,3289.248,,8874.098,,9231.56,,9760.063,,10099.75,,81352.36,,116198.1,,156595.5,,1387024,,1962655,,2822836,,3838949,,0.0955623982588077,0.0753587711167777
42.0,59812.3529406,,1.443,,5,,6,,7,,21,,25,,30,,35,,29.798,,29.786,,29.847,,28.659,,28.664,,28.526,,28.562,,0.047,,0.056,,0.068,,0.083,,0.106,,0.123,,0.162,,3212.081,,3247.423,,3069.97,,9165.502,,9128.175,,10364.61,,10024.73,,82039.2,,116633.6,,157377.6,,1394968,,1972826,,2838250,,3859203,,0.1047447945338584,0.069953030118851
43.0,59812.3569039,,1.417,,5,,6,,7,,21,,25,,30,,35,,29.835,,29.797,,29.742,,28.884,,29.023,,28.947,,28.704,,0.044,,0.05,,0.055,,0.09,,0.13,,0.16,,0.163,,3166.973,,3281.171,,3450.921,,7606.479,,6690.342,,7177.697,,8975.642,,81807.19,,116448.2,,157356.7,,1391094,,1967141,,2829992,,3851101,,0.0881230192644326,0.068951788222206
44.0,59812.3608665,,1.394,,5,,6,,7,,21,,25,,30,,35,,29.854,,29.767,,29.687,,29.136,,29.073,,29.253,,29.072,,0.051,,0.056,,0.061,,0.132,,0.159,,0.247,,0.267,,3098.72,,3355.588,,3613.731,,6002.738,,6361.933,,5391.49,,6365.354,,81807.35,,116969.0,,157503.8,,1391433,,1970636,,2833733,,3855650,,0.0865617790703223,0.0716785933509479
45.0,59812.3648298,,1.371,,5,,6,,7,,21,,25,,30,,35,,29.756,,29.651,,29.578,,28.566,,28.486,,28.448,,28.389,,0.054,,0.059,,0.064,,0.091,,0.108,,0.138,,0.167,,3431.86,,3781.215,,4041.908,,10267.91,,11053.41,,11450.14,,12083.24,,81649.84,,116003.1,,157188.4,,1383798,,1956578,,2813235,,3826104,,0.0770420699289134,0.0644430041585596
