FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,SEEING,MAGUNCERT7,MAGUNCERT5
33,59811.51242,,1.287,,5,,6,,7,,21,,25,,30,,35,,30.223,,30.129,,30.021,,29.188,,28.883,,28.56,,28.456,,0.107,,0.118,,0.125,,0.212,,0.205,,0.2,,0.233,,2283.269,,2490.58,,2751.052,,5927.153,,7848.956,,10566.06,,11630.12,,129957.4,,185973.9,,252768.8,,2251073,,3189418,,4591752,,6246758,,8.177,0.1396931829825256,0.1211458836797958
34,59811.51639,,1.303,,5,,6,,7,,21,,25,,30,,35,,30.172,,30.106,,30.019,,28.822,,28.674,,28.575,,28.481,,0.123,,0.139,,0.151,,0.183,,0.205,,0.246,,0.288,,2397.439,,2546.578,,2759.21,,8306.741,,9520.061,,10428.58,,11373.85,,129037.7,,184372.3,,250786.7,,2235088,,3164100,,4552908,,6194396,,6.5817,0.1447438741804103,0.1178825416667958
35,59811.52035,,1.32,,5,,6,,7,,21,,25,,30,,35,,30.059,,29.926,,29.822,,29.894,,30.354,,30.458,,30.306,,0.088,,0.094,,0.1,,0.39,,0.764,,1.106,,1.23,,2647.292,,2990.768,,3293.395,,3081.515,,2017.33,,1833.494,,2107.537,,130230.0,,187105.2,,252733.3,,2249252,,3186644,,4586876,,6241852,,7.3845,0.1126857354067646,0.102152981343995
36,59811.52432,,1.337,,5,,6,,7,,21,,25,,30,,35,,29.975,,29.986,,29.97,,29.701,,29.297,,29.005,,28.486,,0.083,,0.1,,0.116,,0.329,,0.291,,0.293,,0.232,,2842.643,,2812.843,,2854.049,,3657.582,,5305.738,,6944.825,,11202.47,,129840.6,,184775.3,,251203.6,,2230617,,3159412,,4549681,,6195416,,11.7728,0.1314930464863493,0.0962022441746634
37,59811.52829,,1.357,,5,,6,,7,,21,,25,,30,,35,,30.018,,29.88,,29.83,,29.305,,29.197,,28.914,,28.928,,0.078,,0.083,,0.093,,0.208,,0.241,,0.245,,0.317,,2747.8,,3120.414,,3268.327,,5301.218,,5855.491,,7596.194,,7499.41,,129555.4,,185407.0,,251597.5,,2235497,,3166288,,4558341,,6201167,,8.9058,0.1126158986918994,0.0978962432345649
38,59812.34105,,1.532,,5,,6,,7,,21,,25,,30,,35,,30.009,,29.944,,29.921,,30.195,,30.528,,INDEF,,INDEF,,0.099,,0.113,,0.129,,0.609,,1.061,,INDEF,,INDEF,,2671.386,,2836.227,,2895.662,,2251.663,,1655.477,,-30050.73,,-48462.91,,84078.56,,120369.1,,162049.8,,1435762,,2034097,,2896272,,3934060,,7.938,0.1051830818118568,0.0824622099743301
39,59812.34502,,1.5,,5,,6,,7,,21,,25,,30,,35,,30.273,,30.113,,30.015,,29.772,,29.688,,INDEF,,INDEF,,0.077,,0.08,,0.086,,0.25,,0.296,,INDEF,,INDEF,,2088.472,,2420.864,,2649.998,,3312.589,,3580.27,,-26584.02,,-40658.88,,82036.81,,117286.3,,159214.7,,1409047,,1995099,,2841328,,3863194,,5.6857,0.1123289754755068,0.1032764665306933
40,59812.34898,,1.47,,5,,6,,7,,21,,25,,30,,35,,29.875,,29.847,,29.828,,28.722,,28.442,,INDEF,,INDEF,,0.057,,0.066,,0.076,,0.1,,0.099,,INDEF,,INDEF,,2980.546,,3059.449,,3112.205,,8623.851,,11159.35,,-14948.47,,-28906.28,,81849.05,,116305.9,,157579.9,,1394752,,1974782,,2812721,,3820038,,4.132,0.1089744216400091,0.0776566002480919
41,59812.35294,,1.443,,5,,6,,7,,21,,25,,30,,35,,29.912,,29.804,,29.736,,28.97,,28.605,,INDEF,,INDEF,,0.055,,0.059,,0.065,,0.116,,0.107,,INDEF,,INDEF,,2891.329,,3193.01,,3400.788,,6887.377,,9637.178,,-14417.21,,-28758.72,,82271.63,,117162.3,,158970.3,,1402172,,1986385,,2832035,,3845784,,5.4503,0.0974084921921922,0.0795668038925115
42,59812.3569,,1.417,,5,,6,,7,,21,,25,,30,,35,,30.047,,29.927,,29.87,,29.396,,29.163,,INDEF,,INDEF,,0.058,,0.062,,0.069,,0.16,,0.166,,INDEF,,INDEF,,2606.708,,2909.609,,3065.784,,4746.152,,5883.398,,-18340.22,,-35856.2,,81950.76,,117074.4,,158369.0,,1399953,,1983107,,2828918,,3839686,,8.0974,0.099428336761884,0.0839982235696849
43,59812.36087,,1.394,,5,,6,,7,,21,,25,,30,,35,,29.979,,29.859,,29.804,,30,,29.335,,INDEF,,INDEF,,0.063,,0.068,,0.075,,0.328,,0.228,,INDEF,,INDEF,,2761.382,,3082.972,,3245.746,,2708.849,,4997.583,,-17997.21,,-36277.95,,82128.55,,117279.8,,158510.6,,1398988,,1983449,,2830694,,3841040,,4.6313,0.0940915532003225,0.0794008694466406
44,59812.36483,,1.371,,5,,6,,7,,21,,25,,30,,35,,30.121,,30.02,,29.927,,29.736,,29.782,,INDEF,,INDEF,,0.076,,0.083,,0.09,,0.274,,0.367,,INDEF,,INDEF,,2452.055,,2689.982,,2932.075,,3496.099,,3349.46,,-16805.72,,-36530.75,,81250.99,,116280.2,,157037.0,,1389418,,1968091,,2812391,,3814157,,5.0554,0.1053725975186642,0.0899330802950103
45,59812.36879,,1.351,,5,,6,,7,,21,,25,,30,,35,,29.814,,29.684,,29.603,,28.676,,28.417,,INDEF,,INDEF,,0.047,,0.05,,0.054,,0.083,,0.084,,INDEF,,INDEF,,3255.985,,3669.644,,3955.149,,9289.394,,11795.11,,-4496.119,,-23626.94,,82239.53,,117567.5,,158399.9,,1398497,,1981264,,2831497,,3836372,,6.4001,0.0819337078997413,0.069797099971351
46,59812.3728,,1.332,,5,,6,,7,,21,,25,,30,,35,,29.794,,29.735,,29.725,,29.26,,29.196,,INDEF,,INDEF,,0.044,,0.049,,0.057,,0.133,,0.16,,INDEF,,INDEF,,3285.375,,3470.276,,3501.359,,5372.385,,5702.646,,-14666.18,,-33208.69,,82250.29,,117139.5,,157955.6,,1393190,,1972649,,2817924,,3822236,,4.6764,0.087183929753796,0.0666862841343639
47,59812.37677,,1.314,,5,,6,,7,,21,,25,,30,,35,,30.02,,29.87,,29.748,,29.528,,29.369,,INDEF,,INDEF,,0.067,,0.07,,0.073,,0.217,,0.24,,INDEF,,INDEF,,2698.727,,3098.936,,3465.431,,4245.594,,4915.878,,-454.4221,,-29393.06,,80947.22,,115865.0,,156528.4,,1381170,,1956879,,2809982,,3795304,,4.7445,0.0874943703886405,0.0806194370053204
48,59812.38073,,1.298,,5,,6,,7,,21,,25,,30,,35,,29.901,,29.794,,29.775,,29.803,,29.358,,INDEF,,INDEF,,0.063,,0.069,,0.079,,0.296,,0.252,,INDEF,,INDEF,,3020.714,,3333.314,,3389.938,,3303.396,,4977.658,,917.8873,,-26395.88,,81396.06,,116432.3,,156593.8,,1382777,,1960796,,2817003,,3806146,,4.6016,0.0896308989529539,0.0722153948745095
49,59812.38469,,1.283,,5,,6,,7,,21,,25,,30,,35,,29.978,,29.913,,29.908,,29.282,,28.987,,INDEF,,INDEF,,0.055,,0.062,,0.072,,0.148,,0.144,,INDEF,,INDEF,,2834.779,,3007.824,,3021.318,,5378.752,,7058.804,,-1802.956,,-24963.59,,81890.76,,116544.0,,157886.2,,1395105,,1975955,,2833381,,3834126,,5.3454,0.103149605320241,0.0781574347012331
50,59812.40664,,1.22,,5,,6,,7,,21,,25,,30,,35,,29.904,,29.814,,29.721,,28.796,,28.731,,28.587,,INDEF,,0.065,,0.072,,0.077,,0.12,,0.145,,0.167,,INDEF,,3016.924,,3277.572,,3571.178,,8367.524,,8886.558,,10145.45,,-3763.106,,78433.9,,111931.5,,151095.9,,1335329,,1890014,,2718569,,3682252,,6.1639,0.0873948959978706,0.0729019531219012
51,59812.41065,,1.212,,5,,6,,7,,21,,25,,30,,35,,29.816,,29.722,,29.658,,28.602,,28.281,,28.001,,INDEF,,0.056,,0.061,,0.067,,0.093,,0.088,,0.09,,INDEF,,3303.595,,3602.441,,3820.673,,10113.65,,13591.5,,17588.43,,6547.4,,79552.13,,113671.4,,152885.7,,1352700,,1917113,,2758256,,3736392,,5.105,0.0861932477850449,0.0688246675134019
52,59812.41461,,1.205,,5,,6,,7,,21,,25,,30,,35,,29.9,,29.805,,29.754,,29.135,,28.905,,28.539,,INDEF,,0.051,,0.056,,0.063,,0.128,,0.133,,0.125,,INDEF,,3038.715,,3316.135,,3476.111,,6147.86,,7597.721,,10645.43,,-4556.298,,80389.9,,114104.5,,155109.2,,1365949,,1933499,,2783881,,3770037,,8.7304,0.0861481113555686,0.0709164783205563
53,59812.41857,,1.199,,5,,6,,7,,21,,25,,30,,35,,29.807,,29.74,,29.728,,28.923,,28.914,,28.538,,INDEF,,0.047,,0.053,,0.061,,0.105,,0.133,,0.124,,INDEF,,3320.748,,3529.815,,3569.869,,7495.163,,7559.424,,10687.76,,-5457.354,,81162.38,,115160.2,,156039.9,,1376095,,1946079,,2801998,,3793841,,22.382,0.0806365704685862,0.0636062858486692
54,59812.42253,,1.194,,5,,6,,7,,21,,25,,30,,35,,29.759,,29.698,,29.673,,29.465,,29.686,,29.924,,INDEF,,0.048,,0.054,,0.061,,0.183,,0.288,,0.474,,INDEF,,3478.998,,3680.933,,3767.467,,4560.257,,3722.486,,2989.18,,-8370.96,,81273.58,,115822.1,,155888.4,,1373477,,1944458,,2797256,,3794215,,5.2798,0.0799335548167352,0.0622925280953218
